field_id,source_model,field_name,field_display_name_ja,target_model,relation_table,relation_column1,relation_column2,field_state,field_class_initial
6577,product.template,optional_product_ids,オプションプロダクト,product.template,product_optional_rel,src_id,dest_id,base,SF
3599,product.template,product_tag_ids,タグ,product.tag,product_tag_product_template_rel,product_template_id,product_tag_id,base,SF
7791,product.template,route_from_categ_ids,カテゴリルート,stock.route,,,,base,SF
7785,product.template,route_ids,ルート,stock.route,stock_route_product,product_id,route_id,base,SF
5054,product.template,supplier_taxes_id,仕入税,account.tax,product_supplier_taxes_rel,prod_id,tax_id,base,SF
5052,product.template,taxes_id,販売税,account.tax,product_taxes_rel,prod_id,tax_id,base,SF
3575,product.template,uom_ids,パッケージング,uom.uom,product_template_uom_uom_rel,product_template_id,uom_uom_id,base,SF
3584,product.template,valid_product_template_attribute_line_ids,有効なプロダクト属性明細,product.template.attribute.line,,,,base,SF
3951,product.template.attribute.exclusion,value_ids,属性値,product.template.attribute.value,product_attr_exclusion_value_ids_rel,product_template_attribute_exclusion_id,product_template_attribute_value_id,base,SF
3940,product.template.attribute.line,value_ids,値,product.attribute.value,product_attribute_value_product_template_attribute_line_rel,product_template_attribute_line_id,product_attribute_value_id,base,SF
3967,product.template.attribute.value,ptav_product_variant_ids,関連バリアント,product.product,product_variant_combination,product_template_attribute_value_id,product_product_id,base,SF
9120,purchase.order,duplicated_order_ids,複製されたオーダ,purchase.order,,,,base,SF
9099,purchase.order,invoice_ids,請求書,account.move,account_move_purchase_order_rel,purchase_order_id,account_move_id,base,SF
9069,purchase.order,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
9281,purchase.order,picking_ids,入荷,stock.picking,purchase_order_stock_picking_rel,purchase_order_id,stock_picking_id,base,SF
9284,purchase.order,reference_ids,参照,stock.reference,stock_reference_purchase_rel,purchase_id,reference_id,base,SF
9143,purchase.order.line,allowed_uom_ids,許可された単位,uom.uom,,,,base,SF
9134,purchase.order.line,distribution_analytic_account_ids,分配分析勘定,account.analytic.account,,,,base,SF
9291,purchase.order.line,move_dest_ids,ダウンストリーム移動代替,stock.move,stock_move_created_purchase_line_rel,created_purchase_line_id,move_id,base,SF
9174,purchase.order.line,product_no_variant_attribute_value_ids,バリアントを作成しないプロダクト属性値,product.template.attribute.value,product_template_attribute_value_purchase_order_line_rel,purchase_order_line_id,product_template_attribute_value_id,base,SF
9173,purchase.order.line,product_template_attribute_value_ids,属性値,product.template.attribute.value,,,,base,SF
9142,purchase.order.line,tax_ids,税金,account.tax,account_tax_purchase_order_line_rel,purchase_order_line_id,account_tax_id,base,SF
6941,quotation.document,form_field_ids,フォームフィールドを含む,sale.pdf.form.field,quotation_document_sale_pdf_form_field_rel,quotation_document_id,sale_pdf_form_field_id,base,SF
6940,quotation.document,quotation_template_ids,見積テンプレート,sale.order.template,header_footer_quotation_template_rel,quotation_document_id,sale_order_template_id,base,SF
5134,res.company,account_enabled_tax_country_ids,l10n-使用国,res.country,,,,base,SF
5068,res.company,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
5141,res.company,multi_vat_foreign_country_ids,海外VAT対象国,res.country,,,,base,SF
1172,res.company,parent_ids,親,res.company,,,,base,SF
1206,res.company,uninstalled_l10n_module_ids,アンインストールされたL10Nモジュール,ir.module.module,,,,base,SF
